scenario_id,label,knee_flux_pu,air_core_reactance_pu,saturation_exponent,residual_scale,current_peak_ka,current_peak_pu,current_peak_phase,current_peak_time_ms,flux_proxy_peak_pu,flux_proxy_peak_phase,flux_proxy_peak_time_ms,second_harmonic_ratio,lv_voltage_peak_pu,rated_hv_current_ka,rated_lv_current_ka,hv_base_impedance_ohm,leakage_impedance_ohm,nominal_hv_phase_peak_kv,electrical_period_ms
air_core_low,Air-core reactance -25%,1.1,0.15,13,1,2.105575,8.388014622,i_hv_a_ka,9.131,2.684058435,flux_a_pu,9.861,0.1270297583,1.068000674,0.2510218562,1.673479041,529,66.125,187.7942136,20
residual_high,Residual flux +12.5%,1.1,0.2,13,1.125,1.837106,7.318510141,i_hv_a_ka,9.846,2.796532859,flux_a_pu,9.876,0.07418611709,1.275066798,0.2510218562,1.673479041,529,66.125,187.7942136,20
knee_low,Knee flux -4.5%,1.05,0.2,13,1,1.794697,7.149564693,i_hv_a_ka,9.851,2.699855568,flux_a_pu,9.881,0.0859797273,1.091533206,0.2510218562,1.673479041,529,66.125,187.7942136,20
exponent_low,Polynomial exponent 9,1.1,0.2,9,1,1.722044,6.860135712,i_hv_a_ka,9.316,2.704713311,flux_a_pu,9.886,0.1031771848,1.245667561,0.2510218562,1.673479041,529,66.125,187.7942136,20
baseline,Baseline,1.1,0.2,13,1,1.717247,6.841025822,i_hv_a_ka,9.221,2.704935669,flux_a_pu,9.886,0.1031601783,1.052184141,0.2510218562,1.673479041,529,66.125,187.7942136,20
exponent_high,Polynomial exponent 15,1.1,0.2,15,1,1.715961,6.835902762,i_hv_a_ka,9.181,2.704981841,flux_a_pu,9.886,0.1031865566,1.026588571,0.2510218562,1.673479041,529,66.125,187.7942136,20
knee_high,Knee flux +4.5%,1.15,0.2,13,1,1.65386,6.588509962,i_hv_a_ka,9.116,2.709839533,flux_a_pu,9.891,0.121637877,1.03138137,0.2510218562,1.673479041,529,66.125,187.7942136,20
residual_low,Residual flux -25%,1.1,0.2,13,0.75,1.499894,5.975153012,i_hv_a_ka,9.091,2.520619471,flux_a_pu,9.901,0.1665509166,0.9995992052,0.2510218562,1.673479041,529,66.125,187.7942136,20
air_core_high,Air-core reactance +25%,1.1,0.25,13,1,1.45681,5.803518555,i_hv_a_ka,9.881,2.719362488,flux_a_pu,9.901,0.08636519118,1.042727655,0.2510218562,1.673479041,529,66.125,187.7942136,20
