scenario_id,label,waveform_code,front_time_us,tail_time_us,configured_peak_current_ka,line_current_peak_ka,strike_voltage_peak_kv,midpoint_voltage_peak_kv,remote_voltage_peak_kv,strike_arrival_us,midpoint_arrival_us,remote_arrival_us,measured_end_to_end_travel_us,apparent_velocity_km_per_s,half_value_time_us,source_charge_c,arrival_error_percent,surge_impedance_ohm,wave_velocity_km_per_s,section_travel_time_us,end_to_end_travel_time_us
iec_lpl_i_200ka,IEC 62305-1 LPL I native waveform,0,19,485,200,200.243771,83933.07173,79678.33411,65965.71646,15,189,360,345,289855.0725,372,91.44818322,-0.1389053088,285.6202853,289452.4484,172.739945,345.4798899
cigre_31ka_first_stroke,CIGRE 31 kA first-stroke parameterization,3,3.83,77.5,31,30.672648,13012.29893,10573.72922,10943.26073,1,174,347,346,289017.341,79,3.236876253,0.1505471396,285.6202853,289452.4484,172.739945,345.4798899
heidler_30ka_fast,Heidler 30 kA fast-front waveform,1,1.2,50,30,29.811984,12652.06695,8807.568672,10240.45684,1,174,347,346,289017.341,38,1.538000597,0.1505471396,285.6202853,289452.4484,172.739945,345.4798899
