scenario_id,fault_id,fault_label,fault_type_code,phase_selector,fault_time_s,clearing_time_s,fault_duration_ms,current_peak_ka,first_cycle_rms_max_ka,i2t_ka2s,fault_bus_voltage_min_pu,recovery_voltage_peak_pu
three_phase_120ms,three_phase,Three-phase bolted fault,0,0,0.02,0.14,120,3.816117,2.262625482,0.9990257806,0,0.9999999541
three_phase_80ms,three_phase,Three-phase bolted fault,0,0,0.02,0.1,80,3.816117,2.262625482,0.6990807072,0,1.000544193
phase_to_phase_120ms,phase_to_phase,"Phase-to-phase fault, phases A-B",1,0,0.02,0.14,120,3.11316,1.846175973,0.536767609,0,0.9999999115
three_phase_40ms,three_phase,Three-phase bolted fault,0,0,0.02,0.06,40,3.816117,2.262625482,0.3945555905,0,1.006293306
phase_to_phase_80ms,phase_to_phase,"Phase-to-phase fault, phases A-B",1,0,0.02,0.1,80,3.11316,1.846175973,0.3857635741,0,0.9999998849
phase_to_phase_40ms,phase_to_phase,"Phase-to-phase fault, phases A-B",1,0,0.02,0.06,40,3.11316,1.846175973,0.2286048271,0,0.9999999595
single_phase_ground_120ms,single_phase_ground,"Single-phase-to-ground fault, phase A",2,0,0.02,0.14,120,2.424469,1.441986552,0.1472701084,0,1.007076226
single_phase_ground_80ms,single_phase_ground,"Single-phase-to-ground fault, phase A",2,0,0.02,0.1,80,2.424469,1.441986552,0.1092275643,0,1.006428858
single_phase_ground_40ms,single_phase_ground,"Single-phase-to-ground fault, phase A",2,0,0.02,0.06,40,2.424469,1.441986552,0.06811503362,0,1.004508948
